Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
600000,7.1260576,0.6999931,0.09806732,9.405316e-05,0.5221561,157.57142857142858,9.356236656506857,9.356236656506857,1.0
610000,7.461112,0.7560245,0.09267765,9.394784e-05,0.46853256,96.5,9.52057401339213,9.52057401339213,1.0
620000,7.3894186,0.69770306,0.1016656,9.384367e-05,0.45804945,163.375,10.601449862122536,10.601449862122536,1.0
630000,7.42793,0.56337893,0.09512579,9.3750416e-05,0.4757673,163.0,9.299532747268676,9.299532747268676,1.0
640000,7.092248,0.8173051,0.09578853,9.365527e-05,0.41646314,160.71428571428572,9.280292783464704,9.280292783464704,1.0
650000,6.787978,0.66434443,0.097323924,9.354987e-05,0.4205561,175.5,9.272084812323252,9.272084812323252,1.0
660000,7.063005,0.74021375,0.10362784,9.34445e-05,0.44058138,181.25,9.224930822849274,9.224930822849274,1.0
670000,6.6418686,0.7180691,0.09446855,9.334866e-05,0.4371935,205.33333333333334,9.156955162684122,9.156955162684122,1.0
680000,6.5519843,0.7207089,0.10234964,9.3252886e-05,0.3848321,166.375,9.283966079354286,9.283966079354286,1.0
690000,6.6103587,0.72198886,0.10099663,9.314749e-05,0.42594633,169.57142857142858,9.293208292552404,9.293208292552404,1.0
700000,7.0442758,0.6700418,0.09406386,9.3043986e-05,0.4240968,116.0,9.53017282485962,9.53017282485962,1.0
710000,6.226697,0.62369156,0.097061805,9.294521e-05,0.417111,176.33333333333334,9.265464107195536,9.265464107195536,1.0
720000,6.8837166,0.7832974,0.09173474,9.285216e-05,0.4232236,139.66666666666666,9.045703649520874,9.045703649520874,1.0
730000,6.0345087,0.5420999,0.10573595,9.2741466e-05,0.4436176,158.66666666666666,9.342112163702646,9.342112163702646,1.0
740000,6.219588,0.6199315,0.0986264,9.265206e-05,0.4352458,180.0,9.257737600803376,9.257737600803376,1.0
750000,5.568385,0.4314868,0.09991986,9.2554976e-05,0.4577353,158.33333333333334,9.357765634854635,9.357765634854635,1.0
760000,6.1593604,0.48010793,0.09933593,9.245933e-05,0.41474667,153.6,10.417190074920654,10.417190074920654,1.0
770000,5.1843143,0.5786449,0.09568494,9.235313e-05,0.380369,164.625,9.332994394004345,9.332994394004345,1.0
780000,5.552993,0.523864,0.103393294,9.224621e-05,0.37327963,182.6,9.260210752487183,9.260210752487183,1.0
790000,6.1090307,0.6521373,0.09596942,9.214632e-05,0.41099507,155.25,9.371319383382797,9.371319383382797,1.0
800000,5.567842,0.5699543,0.09824977,9.2044196e-05,0.4481444,166.76923076923077,9.297265768051147,9.297265768051147,1.0
810000,5.960736,0.78636205,0.10486687,9.194728e-05,0.44992137,185.6,9.007182125250498,9.007182125250498,1.0
820000,6.6259027,0.8406005,0.09935258,9.1846494e-05,0.4166829,158.625,9.34592467546463,9.34592467546463,1.0
830000,6.1962466,0.6476467,0.09511687,9.174386e-05,0.5035687,164.76923076923077,9.306046999417818,9.306046999417818,1.0
840000,6.104422,0.56522954,0.09918529,9.165421e-05,0.5071642,169.46153846153845,10.088951716056236,10.088951716056236,1.0
850000,5.9666977,0.50455683,0.09120475,9.1555026e-05,0.537248,157.11111111111111,10.494436012374031,10.494436012374031,1.0
860000,6.0016923,0.6840986,0.098434724,9.144765e-05,0.51271844,176.21428571428572,9.251764152731214,9.251764152731214,1.0
870000,5.8589044,0.58679116,0.10084357,9.135207e-05,0.4674502,170.54545454545453,9.287683010101318,9.287683010101318,1.0
880000,5.640867,0.42507678,0.09119804,9.124494e-05,0.44006836,157.0,9.256289330395786,9.256289330395786,1.0
890000,6.55187,0.65427303,0.09912059,9.11514e-05,0.47744218,141.0,9.42366760969162,9.42366760969162,1.0
900000,6.2395005,0.64481485,0.098970965,9.105691e-05,0.48426262,162.1,9.328371846675873,9.328371846675873,1.0
910000,6.6300344,0.5773355,0.100323595,9.095174e-05,0.4964854,158.14285714285714,9.33097881930215,9.33097881930215,1.0
920000,5.967599,0.5879451,0.098229155,9.084579e-05,0.4612293,157.66666666666666,9.738246134349279,9.738246134349279,1.0
930000,6.2068796,0.5357053,0.09776021,9.074751e-05,0.41761622,195.25,10.439842522144318,10.439842522144318,1.0
940000,5.701294,0.49359483,0.09558149,9.064958e-05,0.47759447,162.16666666666666,9.123735113577409,9.123735113577409,1.0
950000,5.886106,0.5353325,0.10185417,9.054256e-05,0.40930253,158.22222222222223,9.29897932211558,9.29897932211558,1.0
960000,6.2627196,0.51835066,0.09470362,9.044864e-05,0.48403466,172.25,11.439340567588806,11.439340567588806,1.0
970000,6.3986306,0.71160305,0.095239,9.0353555e-05,0.4301931,158.375,9.346887644131979,9.346887644131979,1.0
980000,5.363021,0.5149425,0.1042363,9.025147e-05,0.47184154,176.23333333333332,9.230427180567096,9.230427180567096,1.0
990000,5.4992347,0.5910758,0.097676225,9.014977e-05,0.48408195,168.78571428571428,9.272428393363953,9.272428393363953,1.0
1000000,5.796056,0.61072946,0.09723164,9.005082e-05,0.43806335,163.30769230769232,10.09653704900008,10.09653704900008,1.0
1010000,6.9112344,0.72796166,0.09660582,8.9955116e-05,0.3862998,176.0,11.863565534353256,11.863565534353256,1.0
1020000,6.757666,0.68695253,0.10618041,8.985048e-05,0.36778784,165.8,11.39357225894928,11.39357225894928,1.0
1030000,7.3337264,0.7422326,0.09873696,8.974431e-05,0.34205624,150.83333333333334,9.337340493996939,9.337340493996939,1.0
1040000,6.3714514,0.66952366,0.09630584,8.964869e-05,0.3920051,159.83333333333334,9.331492920716604,9.331492920716604,1.0
1050000,6.728546,0.57228297,0.09686672,8.9551955e-05,0.42761093,188.85714285714286,15.209954738616943,15.209954738616943,1.0
1060000,6.08901,0.8100763,0.10694137,8.945147e-05,0.428831,167.19230769230768,9.299951159037077,9.299951159037077,1.0
1070000,6.3151994,0.60725594,0.10145813,8.9352616e-05,0.42384356,157.2,10.523203452428183,10.523203452428183,1.0
1080000,6.4508195,0.8257407,0.096873336,8.9245754e-05,0.39825568,168.4,9.14612590521574,9.14612590521574,1.0
1090000,5.746433,0.6135529,0.0980563,8.914634e-05,0.38479516,165.64285714285714,9.296492099761963,9.296492099761963,1.0
1100000,6.089016,0.626519,0.09897665,8.904891e-05,0.34044123,177.14285714285714,9.245823468480792,9.245823468480792,1.0
1110000,6.111575,0.6777822,0.09447899,8.894443e-05,0.38009098,174.0,9.269778773188591,9.269778773188591,1.0
1120000,6.257949,0.62732345,0.09900631,8.8848625e-05,0.38812426,183.33333333333334,9.193754434585571,9.193754434585571,1.0
1130000,6.2831626,0.6965858,0.09164076,8.875232e-05,0.40566495,168.57894736842104,9.287519015763936,9.287519015763936,1.0
1140000,6.575083,0.8067876,0.104438104,8.865271e-05,0.40516642,168.5,9.254240700176783,9.254240700176783,1.0
1150000,6.6563597,0.81528664,0.09838261,8.854758e-05,0.45950282,145.46666666666667,9.346218578020732,9.346218578020732,1.0
1160000,6.3307877,0.6382673,0.10074332,8.844801e-05,0.4728703,170.88888888888889,10.99344258175956,10.99344258175956,1.0
1170000,6.056579,0.58988637,0.09206279,8.834443e-05,0.497958,199.0909090909091,8.73590207641775,8.73590207641775,1.0
1180000,5.8246083,0.6301969,0.09337868,8.824484e-05,0.4937809,152.0,9.337945580482483,9.337945580482483,1.0
1190000,6.4616556,0.8311592,0.09489186,8.815015e-05,0.51257473,173.58333333333334,11.835974683364233,11.835974683364233,1.0
1200000,6.336045,0.5765971,0.09756696,8.804351e-05,0.51772404,157.64285714285714,9.967280800525959,9.967280800525959,1.0
1210000,6.5670967,0.5071336,0.10248442,8.794732e-05,0.46732706,199.2,12.68481190999349,12.68481190999349,1.0
1220000,6.2387686,0.72783566,0.09307687,8.7851746e-05,0.474975,168.0,9.289648473262787,9.289648473262787,1.0
1230000,6.802686,0.63132435,0.09776456,8.774582e-05,0.46385074,155.46153846153845,10.169563696934627,10.169563696934627,1.0
1240000,6.3565497,0.89327914,0.09716363,8.764887e-05,0.4352868,186.76,11.53055410861969,11.53055410861969,1.0
1250000,6.262164,0.7469797,0.10314256,8.7549364e-05,0.4014364,176.94117647058823,9.24142416084514,9.24142416084514,1.0
1260000,6.5200286,0.75087017,0.096209906,8.745192e-05,0.42145592,166.875,11.931276515126228,11.931276515126228,1.0
1270000,6.779171,0.8254798,0.09962122,8.735516e-05,0.41743279,191.63636363636363,10.024181997776031,10.024181997776031,1.0
1280000,6.481732,0.9124012,0.096661836,8.72456e-05,0.4544535,159.1,9.340859186081659,9.340859186081659,1.0
1290000,5.9607177,0.6113672,0.09861848,8.714858e-05,0.4178125,143.83333333333334,9.402444819609324,9.402444819609324,1.0
