Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
2350000,1.2666736,0.5887846105199115,343.4117647058824,6.0,0.20037542,0.075255975,0.5667395367535988,0.21904884683317505,0.053951688,0.098825745,0.0002296665,0.040643893,0.2711409
2360000,1.2277868,0.8559453460329678,136.5,6.0,0.20217808,0.06602733,0.8654518889056312,0.1526206808889078,0.04156531,0.09979423,0.00022935164,0.047936264,0.28213212
2370000,1.2114102,0.8653767495303564,261.29411764705884,6.0,0.27940643,0.06779816,0.8653766794424401,0.1982412415638785,0.06826588,0.09671551,0.00022904109,0.04328922,0.30425638
2380000,1.1994574,7.751324868091274,400.1578947368421,6.0,0.33767262,0.07426968,8.054975753141731,0.3383590690274205,0.08960985,0.09581569,0.00022875346,0.041276876,0.23814777
2390000,1.1771669,2.285191333962757,158.625,6.0,0.27324843,0.07030041,2.218089371919632,0.14606339926831424,0.040509306,0.0996837,0.00022847319,0.046967503,0.2492193
2400000,1.1631851,0.29975434758221303,174.7,6.0,0.20601577,0.06538856,0.5290879089046608,0.13936452025716956,0.018603813,0.09695286,0.00022815862,0.04042876,0.24107334
2410000,1.2163358,-0.3512611687765457,161.25,6.0,0.034771718,0.05994469,-0.3512611798942089,0.20482584839919582,0.015817579,0.092309535,0.00022785043,0.028225357,0.31178573
2420000,1.1955856,0.8575897100381553,135.375,6.0,0.042830724,0.04816555,0.8575897291302681,0.14073260268196464,0.024640677,0.09764936,0.00022753647,0.028133824,0.29415172
2430000,1.2054037,0.44022616497240963,119.4,6.0,0.048833515,0.043386906,0.44022610783576965,0.12541158363455907,0.009421998,0.10057768,0.00022724709,0.021821763,0.2889121
2440000,1.2303839,0.7994842700433804,285.3,6.0,0.08017801,0.037129845,0.7994841808359465,0.2727430443279445,0.018450757,0.09896062,0.00022696456,0.024558563,0.30805156
